CR,Water flow (%),RPM,LOAD,bp (kw),BRAKE THERMAL EFFICIENCY,SFC (kg/KWhr),Volumetric efficiency
18.1,100,758,0.4,0.079386522,2.109940797,3.967927932,41.19960398
18.1,100,760,0.5,0.099494982,2.644384904,3.165988813,41.09118397
18.1,100,759,0.7,0.139109695,3.427675198,2.442498935,41.14532255
18.1,100,758,0.9,0.178619676,4.401204631,1.902227623,41.19960398
18.1,100,756,1,0.197942648,4.877324393,1.716533974,41.30859764
18.1,100,755,1.2,0.237216983,5.385324651,1.554612501,41.36331102
18.1,100,754,1.4,0.276386587,6.274557066,1.334292275,41.41816952
18.1,100,752,1.5,0.295342999,6.704907512,1.24865153,41.52832423
18.1,100,750,1.7,0.333831848,6.469609448,1.294064671,40.83046389
18.1,100,750,1.9,0.373106183,7.230739971,1.157847337,40.83046389
18.1,100,751,2,0.393267008,7.62145364,1.098490317,40.77609576
18.1,100,751,2.2,0.432593709,8.144067603,1.02799896,40.77609576
18.1,100,751,2.4,0.471920409,8.884437386,0.94233238,40.77609576
18.1,100,749,2.5,0.490274615,9.229976145,0.907054676,40.88497719
18.1,100,748,2.7,0.528789646,9.808667307,0.853540319,40.93963625
18.1,100,748,2.9,0.56795925,10.53523526,0.79467547,40.93963625
18.1,100,747.5,3,0.587151308,10.89123412,0.768700124,40.96702062
18.1,100,747.4,3.2,0.626210944,10.9222839,0.76651487,40.9725019
18.1,100,747.3,3.4,0.665260106,11.60337394,0.721522298,40.97798463
18.1,100,746,3.5,0.683635258,11.92387078,0.702128795,41.04939399
18.1,100,744,3.7,0.720762596,12.57144063,0.665961306,40.32814617
18.1,100,742,3.9,0.757680471,13.21535705,0.633512435,40.43684737
18.1,100,743,4,0.778155491,13.57247949,0.616843299,40.38242362
18.1,100,742,4.2,0.815963584,12.42469466,0.673826863,40.43684737
18.1,100,741,4.3,0.834265424,12.70337717,0.659044671,40.49141801
18.1,100,742,4.5,0.874246697,13.31217285,0.628905072,40.43684737
18.1,100,742,4.7,0.913102106,13.14543453,0.636882182,40.43684737
18.1,100,742,4.9,0.951957515,13.70481472,0.610886991,40.43684737
18.1,100,741,5,0.970076075,13.96565777,0.599477172,40.49141801
18.1,100,741.8,5.2,1.009968326,14.53996482,0.575798712,40.44774973
18.1,100,741.7,5.4,1.048671874,15.09715876,0.554547591,40.45320311
18.1,100,740.9,5.5,1.066939676,14.47398785,0.578423383,40.49688318
18.1,100,740.8,5.7,1.10558824,13.16176476,0.636091981,40.50234982
18.1,100,740.8,5.9,1.14438081,13.62358107,0.614529541,40.50234982
18.1,100,740.5,6.2,1.202082663,13.97770538,0.598960473,40.51875861
18.1,100,740.2,6.4,1.240356811,14.42275362,0.580478128,40.53518069
18.1,100,740.3,6.5,1.259907575,14.65008809,0.57147049,40.52970518
18.1,100,740.2,6.7,1.298498537,14.73932448,0.568010633,39.24801994
18.1,100,740.2,6.9,1.337259687,15.17930431,0.551546556,39.24801994
18.1,100,740.1,7,1.356456982,15.39721381,0.543740779,39.25332301
18.1,100,739,7.2,1.393139211,15.8135957,0.529423743,39.3117515
18.1,100,738,7.4,1.429899989,16.2308692,0.515812981,39.36501945
18.1,100,737,7.5,1.447259245,14.8251916,0.56472073,39.41843196
18.1,100,736,7.7,1.483836742,14.78907052,0.566100014,39.47198962
18.1,100,735,7.9,1.520309508,15.15258646,0.552519073,39.525693
18.1,100,734,8,1.537459301,15.32351463,0.546355926,39.57954272
18.1,100,732,8.2,1.571601789,14.35848811,0.583076224,39.68768355
18.1,100,730,8.4,1.605534815,14.66850744,0.570752891,39.79641693
18.1,100,729,8.5,1.622422779,14.82279947,0.564811866,39.85100735
18.1,100,729,8.7,1.660597432,11.95335915,0.700396677,39.40573072
18.1,100,729,8.9,1.698772086,12.22814901,0.684657426,39.40573072
18.1,100,728,9,1.715502953,12.34858161,0.677980135,39.45985947
18.1,100,727,9.2,1.751216415,11.63598947,0.71949988,39.51413713
18.1,100,727,9.4,1.789286337,11.88894576,0.704191372,39.51413713
18.1,100,726,9.5,1.805833923,11.9988965,0.697738581,39.56856432
18.1,100,726,9.7,1.84385148,11.74102548,0.713063185,39.56856432
18.1,100,726,9.9,1.881869036,11.98310848,0.698657868,39.56856432
18.1,50,730,2,0.382270194,7.196670319,1.163328686,41.94910674
18.1,50,735,4,0.769776966,15.34439135,0.545612585,37.72811999
18.1,50,740,6,1.162520316,24.46056036,0.342269061,41.04983417
18.1,50,745,8,1.560500244,34.56257462,0.242230017,40.39967468
18.1,50,751,1,0.196633504,4.40955532,1.898625239,40.77609576
18.1,50,753,1.4,0.276020026,5.884147849,1.422821662,40.66779272
18.1,50,754,1.6,0.315870385,6.558770452,1.276472943,40.61385665
18.1,50,755,1.8,0.355825475,7.19137865,1.164184704,40.56006347
18.1,50,755,2,0.395361639,8.09987854,1.03360723,40.56006347
18.1,50,749,2.2,0.431441661,8.600166008,0.973480397,40.88497719
18.1,50,749,2.4,0.470663631,9.121388191,0.917852946,40.88497719
18.1,50,749,2.6,0.5098856,9.599175191,0.872167958,40.88497719
18.1,50,749,2.8,0.549107569,10.03352701,0.834411769,40.88497719
18.1,50,749,3,0.588329538,10.42444365,0.803121328,40.88497719
18.1,50,747,3.2,0.625875803,1.56988781,5.332924409,39.74558582
18.1,50,747,3.4,0.66499304,1.679052195,4.986201769,39.74558582
18.1,50,747,3.6,0.704110278,1.974705735,4.239666131,39.74558582
18.1,50,747,3.8,0.743227516,2.29017781,3.655651971,39.74558582
18.1,50,747,4,0.782344753,2.627309484,3.18656522,39.74558582
18.1,50,746,4.2,0.820362309,0.917570246,9.124198453,40.22002781
18.1,50,746,4.4,0.859427181,0.961264068,8.709462159,40.22002781
18.1,50,746,4.6,0.898492053,1.004957889,8.330789892,40.22002781
18.1,50,746,4.8,0.937556925,1.04865171,7.983673646,40.22002781
18.1,50,745,5.4,1.053337665,2.72957933,3.067173366,39.85228538
18.1,50,745,5.6,1.092350171,2.153248399,3.888122257,39.85228538
18.1,50,745,5.8,1.131362677,1.616232396,5.180005701,39.85228538
18.1,50,745,6,1.170375183,0.816540825,10.2531224,39.85228538
18.1,50,743,6.2,1.206141011,1.168741289,7.163341536,39.95955936
18.1,50,743,6.4,1.245048785,1.544246555,5.421474307,39.95955936
18.1,50,743,6.6,1.28395656,1.93730987,4.321504346,39.95955936
18.1,50,743,6.8,1.322864334,3.428020534,2.44225288,39.95955936
18.1,50,743,7,1.361772109,2.262079915,3.701059793,39.95955936
18.1,50,737,7.2,1.389368875,2.307921719,3.627546356,40.28487463
18.1,50,737,7.4,1.427962455,15.12169543,0.553647775,40.28487463
18.1,50,737,7.6,1.466556035,15.12436664,0.553549992,40.28487463
18.1,50,737,8,1.543743194,15.313488,0.546713657,40.28487463
18.1,25,742,8.2,1.593071759,31.75558324,0.263641608,40.85589325
18.1,25,746,8.4,1.640724619,33.15971683,0.25247782,40.6368268
18.1,25,750,8.6,1.688796405,34.59881893,0.241976266,40.42009705
18.1,25,754,9,1.776770915,36.89308379,0.226928523,40.20566683
18.1,25,757,1,0.198204477,4.170415358,2.007496209,40.04633129
18.1,25,756,1.2,0.237531178,4.800602436,1.743967165,40.09930263
18.1,25,755,1.4,0.276753147,5.363433087,1.560957858,40.15241429
18.1,25,754,1.6,0.315870385,6.733670997,1.243317802,40.20566683
18.1,25,746,1.8,0.351583847,7.300329047,1.146810366,40.6368268
18.1,25,752,2,0.393790666,7.958670706,1.051946152,40.3125968
18.1,25,751,2.2,0.432593709,8.503364704,0.984562384,40.36627535
18.1,25,750,2.4,0.47129202,9.003086761,0.929913622,40.42009705
18.1,25,750,2.6,0.510566355,9.470638368,0.884005143,40.42009705
18.1,25,749,2.8,0.549107569,9.881503873,0.847248873,40.47406247
18.1,25,747,3.2,0.625875803,10.91643842,0.76692532,40.16618574
18.1,25,747,3.4,0.66499304,11.59871582,0.721812066,40.16618574
18.1,25,746,3.6,0.703167694,12.06987736,0.693635302,40.22002781
18.1,25,746,3.8,0.742232566,12.53493536,0.667900774,40.22002781
18.1,25,745,4,0.780250122,13.17698157,0.635357421,40.27401443
18.1,25,744,4.2,0.818162947,0.097400351,85.95547095,40.32814617
18.1,25,743,4.4,0.85597104,13.27797823,0.630524684,40.38242362
18.1,25,742,4.6,0.893674401,13.86283962,0.603923384,40.43684737
18.1,25,741,4.8,0.931273032,13.93042134,0.600993525,40.49141801
18.1,25,740,5,0.96876693,13.68664907,0.611697793,40.54613614
18.1,25,739,5.2,1.006156097,14.21487974,0.588966856,40.60100236
18.1,25,739,5.4,1.044854408,14.47233279,0.578489532,40.60100236
18.1,25,739,5.6,1.08355272,14.70835821,0.569206495,40.60100236
18.1,25,739,5.8,1.122251031,14.30155453,0.585397413,40.60100236
18.1,25,738,6,1.159378369,14.13273245,0.592390258,40.65601727
18.1,25,337,6.2,0.547065304,5.879588895,1.423924899,89.0330586
18.1,25,336,6.6,0.580631769,6.240344756,1.341607451,89.29803794
18.1,25,336,6.8,0.598226671,6.429446112,1.302148409,89.29803794
18.1,25,735,7,1.347109691,14.47807259,0.578260191,40.8219602
18.1,25,734,7.2,1.383713371,13.82181019,0.605716104,40.01689901
18.1,25,733,7.4,1.420212319,14.18639548,0.590149417,40.07149233
18.1,25,732,7.6,1.456606536,14.54993462,0.575404168,40.1262348
18.1,25,731,7.8,1.492896022,14.9124276,0.561417178,40.18112705
18.1,25,730,8,1.529080776,15.27387442,0.548131587,40.23616969
18.1,25,729,8.2,1.565160798,15.63427508,0.53549608,39.40573072
18.1,25,728,8.4,1.601136089,14.74800601,0.567676269,39.45985947
18.1,25,727,8.6,1.637006649,15.07840842,0.555237184,39.51413713
18.1,25,726,8.8,1.672772476,15.40784615,0.543365565,39.56856432
18.1,25,725,9,1.708433573,15.7363192,0.532023589,39.62314165
18.1,25,724,9,1.706077112,14.38262682,0.582097633,39.22439348
18.1,25,723,9.2,1.741581111,14.68193379,0.570230948,39.27864576
18.1,25,722,9.6,1.814788472,15.29908886,0.547228211,39.33304831
18.1,25,721,9.8,1.850030642,15.59618855,0.536803784,39.38760178
18.1,25,719,10,1.882549791,15.87033254,0.52753104,39.49716395
17.1,100,751,0.4,0.078653402,1.894475619,4.419213918,40.77609576
17.1,100,751,0.6,0.117980102,2.74372331,3.051361991,40.77609576
17.1,100,751,0.8,0.157306803,3.484093092,2.402947568,40.77609576
17.1,100,750,1,0.196371675,4.186217878,1.999918128,40.83046389
17.1,100,749,1.2,0.235331815,4.886457959,1.713325499,40.47406247
17.1,100,749,1.4,0.274553785,5.624856051,1.488410183,40.47406247
17.1,100,749,1.6,0.313775754,6.341536552,1.320199443,40.47406247
17.1,100,749,1.8,0.352997723,7.036499461,1.189809375,40.47406247
17.1,100,748,2,0.391696034,7.591008419,1.102896027,40.52817218
17.1,100,747,2.2,0.430289614,8.219818213,1.018525326,40.58242676
17.1,100,747,2.4,0.469406852,8.707159213,0.961518311,40.58242676
17.1,100,747,2.6,0.50852409,9.151181014,0.91486476,40.58242676
17.1,100,747,2.8,0.547641327,9.551883615,0.87648608,40.58242676
17.1,100,746,3,0.585973078,10.05823113,0.832362362,40.6368268
17.1,100,745,3.2,0.624200098,10.36877239,0.807433389,40.27401443
17.1,100,745,3.4,0.663212604,9.731524916,0.860306385,40.27401443
17.1,100,745,3.6,0.70222511,10.30396756,0.812511586,40.27401443
17.1,100,745,3.8,0.741237616,10.8764102,0.769747818,40.27401443
17.1,100,744,4,0.779202806,11.43348525,0.732243304,40.32814617
17.1,100,743,4.2,0.817063265,10.5639132,0.792518157,40.38242362
17.1,100,743,4.4,0.85597104,11.06695669,0.756494604,40.38242362
17.1,100,743,4.8,0.933786589,12.07304366,0.693453387,40.38242362
17.1,100,742,5.2,1.010240628,12.86574443,0.650727447,40.01341321
17.1,100,742,5.4,1.049096037,13.36058075,0.62662643,40.01341321
17.1,100,742,5.6,1.087951445,13.85541708,0.604246915,40.01341321
17.1,100,742,5.8,1.126806854,14.3502534,0.583410814,40.01341321
17.1,100,740,6,1.162520316,14.80507601,0.565488014,40.12155757
17.1,100,749,6.2,1.215881046,13.12828372,0.637714206,39.21549249
17.1,100,749,6.4,1.255103015,13.55177674,0.617785637,39.21549249
17.1,100,749,6.6,1.294324984,13.97526976,0.59906486,39.21549249
17.1,100,749,6.8,1.333546953,14.39876279,0.581445305,39.21549249
17.1,100,738,7,1.352608097,14.60457248,0.573251496,39.80000525
17.1,100,737,7.2,1.389368875,15.00149117,0.558084055,39.85400797
17.1,100,737,7.4,1.427962455,13.83684549,0.605057925,39.85400797
17.1,100,737,7.6,1.466556035,14.21081429,0.589135348,39.85400797
17.1,100,737,7.8,1.505149615,14.58478309,0.574029314,39.85400797
17.1,100,735,8,1.539553932,14.91815826,0.561201516,39.525693
17.1,100,734,8.2,1.575895783,13.08883541,0.639636206,39.57954272
17.1,100,734,8.4,1.614332266,13.4080753,0.624406773,39.57954272
17.1,100,734,8.6,1.652768748,13.72731519,0.609885685,39.57954272
17.1,100,734,8.8,1.691205231,14.04655507,0.596024647,39.57954272
17.1,100,732,9,1.724928793,14.32665111,0.584371949,39.68768355
17.1,100,731,9,1.722572333,12.87637126,0.650190403,41.04533618
17.1,100,731,9.2,1.760851718,13.16251284,0.636055829,41.04533618
17.1,100,729,9.4,1.79420872,13.4118592,0.624230608,41.15794341
17.1,100,729,9.6,1.832383374,13.69721791,0.611225804,41.15794341
17.1,100,729,9.8,1.870558027,13.98257662,0.598751808,41.15794341
17.1,50,765,0.2,0.040059822,0.831806929,10.06494744,40.02986656
17.1,50,762,0.4,0.079805449,1.657089882,5.05228661,40.18746446
17.1,50,759,0.6,0.119236881,2.475848859,3.381504082,40.34630819
17.1,50,757,0.8,0.158563582,3.292433178,2.542828532,40.45290346
17.1,50,756,1,0.197942648,4.110104826,2.036953649,40.50641259
17.1,50,755,1.2,0.237216983,4.728577742,1.770530904,40.56006347
17.1,50,754,1.4,0.276386587,5.50936718,1.519610647,40.61385665
17.1,50,750,1.8,0.353469015,7.045893987,1.188222962,40.83046389
17.1,50,749,2,0.392219692,7.818332735,1.070828437,40.88497719
17.1,50,746,2.2,0.429713591,6.067384586,1.379852044,40.22002781
17.1,50,743,2.4,0.466893294,6.592347181,1.269971498,40.38242362
17.1,50,740,2.6,0.503758804,7.112873473,1.177033875,40.54613614
17.1,50,737,2.8,0.540310118,7.628963461,1.097408982,40.71118148
17.1,50,735,3,0.577332725,8.151707904,1.027035453,40.8219602
